,Player,MPG,PER,VORP,BPM,OBPM,WS,OWS,DWS
0,Alex Abrines,15.742618330581442,9.255835851476633,-0.1,-4.1980397539597885,-1.3712256949087847,3.2067400554133645,2.8302433423985294,0.3764967130148351
1,Quincy Acy,19.13613568091752,8.00598619066047,-0.1,-4.46644683989277,-2.715815726848444,-0.5461284274607794,-0.19920348097268653,-0.34692494648809286
2,Steven Adams,33.15301122574272,20.541539216664386,3.3,-0.15969516773277537,0.4869621599790823,11.714048488964181,9.554589841590555,2.1594586473736257
3,Bam Adebayo,21.41866911034331,16.21942418589899,0.8,-1.5072870194707961,-5.615085058936057,6.511470472748932,4.233584829467137,2.2778856432817944
4,Arron Afflalo,12.903126957980794,5.906188038816068,-0.7,-6.720970082412231,-2.2876447434856244,0.767506800947598,0.5100604762579319,0.2574463246896661
5,Cole Aldrich,2.520764420150053,6.198506058305347,-0.1,-8.627872289397107,-7.419509358926672,1.9758775921704,2.711286227215683,-0.7354086350452831
6,LaMarcus Aldridge,33.911554023138855,26.137767838568745,3.3,3.1543729311507738,2.3038399045241835,14.403148096425522,9.118910531241536,5.284237565183986
7,Jarrett Allen,20.01388888888889,17.5,0.8,-2.602363931293066,-2.93191902334262,4.2,2.7,1.5
8,Kadeem Allen,5.944444444444445,2.6,-0.1,-8.005814578715722,-6.939082978067065,-0.1,-0.2,0.1
9,Tony Allen,12.409090909090908,8.7,-0.2,-8.303336552734319,-6.053550994951761,0.1,-0.2,0.30000000000000004
10,Al-Farouq Aminu,30.028985507246375,12.0,1.6,-0.46117430534286186,-1.3662903076710369,4.2,0.9,3.3000000000000003
11,Justin Anderson,13.657894736842104,13.0,0.0,-3.59571438371496,-2.164986593731706,1.2,0.6,0.6
12,Kyle Anderson,26.72972972972973,15.9,3.0,2.2491466824244597,-2.4486727118837948,6.2,2.4,3.8000000000000003
13,Ryan Anderson,26.136363636363637,12.6,1.0,-1.9537209142515561,-0.6663421728805718,4.8,3.1,1.6999999999999997
14,Ike Anigbogu,2.727272727272727,21.6,0.0,-6.035265901301751,-6.279544702146473,0.1,0.1,0.0
15,Giannis Antetokounmpo,36.74666666666667,27.3,5.4,4.9590694877500034,2.759654774666787,11.9,8.3,3.5999999999999996
16,Carmelo Anthony,32.06410256410256,12.7,-1.1,-7.292313273275431,-2.711295742843613,3.7,1.2,2.5
17,OG Anunoby,20.013513513513512,10.0,1.0,-0.6152549549388641,-0.9529700540928188,3.0,1.4,1.6
18,Ryan Arcidiacono,12.666666666666666,7.3,-0.2,-5.617236479459308,-4.201101161496881,0.3,0.1,0.19999999999999998
19,Trevor Ariza,33.865671641791046,11.8,2.0,-0.06420759979557622,-0.5857699329872366,5.3,2.6,2.6999999999999997
20,Darrell Arthur,7.421052631578948,8.4,-0.1,-5.531618455550825,-3.1856123548291273,0.0,-0.2,0.2
21,Jamel Artis,18.6,6.9,-0.3,-8.390637034734207,-6.029386428703535,0.0,-0.1,0.1
22,Omer Asik,10.11111111111111,3.1,-0.3,-9.590338118735978,-9.033572322358962,-0.1,-0.2,0.1
23,D.J. Augustin,23.466666666666665,15.4,0.5,-0.7870618383461915,1.6604037247316181,4.1,3.3,0.7999999999999998
24,Luke Babbitt,14.3,9.8,-0.2,-3.1172138976728485,-2.3428082358876114,0.9,0.5,0.4
25,Dwayne Bacon,13.452830188679245,5.8,-0.7,-6.301611791174993,-6.784167132247765,-0.1,-0.7,0.6
26,Ron Baker,13.275862068965518,9.3,0.1,-2.403809422341043,-4.193972345470023,0.5,0.1,0.4
27,Wade Baldwin,11.428571428571429,16.6,0.0,-2.323900600562064,0.6256221822483254,0.3,0.2,0.09999999999999998
28,Lonzo Ball,34.23076923076923,12.5,1.7,0.8676081519941731,-3.333263022007298,2.0,-0.5,2.5
29,J.J. Barea,23.231884057971016,17.8,0.8,-2.733005765388419,1.4112517546078647,3.3,2.3,1.0
30,Harrison Barnes,34.20779220779221,15.8,-0.1,-3.161452410914692,-1.5210446396935438,3.8,2.0,1.7999999999999998
31,Will Barton,33.123456790123456,16.2,2.0,-1.8058391493947732,1.144139153963121,6.2,4.4,1.7999999999999998
32,Nicolas Batum,30.953125,14.4,1.7,-0.7148159341466638,0.9247840499498933,3.5,1.7,1.8
33,Jerryd Bayless,23.71794871794872,7.5,-0.2,-2.817553657977971,-4.317706261462476,1.1,0.2,0.9000000000000001
34,Aron Baynes,18.333333333333332,12.1,0.1,-2.7168937636300674,-6.546131667041665,3.0,0.5,2.5
35,Kent Bazemore,27.523076923076925,14.5,1.1,-2.0133256830109603,-3.8079206056757857,2.2,0.2,2.0
