,Player,MPG,PER,OWS,DWS,WS,OBPM,BPM,VORP,Years_Played,Fantasy_PPG
0,Mark Acres,21.14,8.3,1.1,0.6,1.6,-2.2,-2.0,0.0,10.0,12.034375
1,Michael Adams,34.05,15.4,4.4,2.5,6.9,2.7,1.7,2.5,4.0,32.33227848101266
2,Mark Aguirre,25.71,15.8,3.1,2.5,5.7,1.1,0.6,1.3,2.0,21.192307692307693
3,Danny Ainge,36.36,16.1,2.7,2.1,4.8,2.2,1.6,2.5,12.0,34.583333333333336
4,Mark Alarie,23.09,14.1,1.5,1.6,3.1,-0.4,-1.0,0.5,9.0,19.40548780487805
5,Steve Alford,7.37,18.7,0.6,0.3,0.9,1.0,-1.0,0.1,6.0,7.2073170731707314
6,Randy Allen,11.84,8.4,-0.3,0.6,0.2,-4.6,-5.9,-0.7,6.0,7.134920634920635
7,Nick Anderson,22.04,14.9,1.2,0.7,1.8,-0.7,-1.7,0.1,12.0,18.77777777777778
8,Richard Anderson,11.19,13.3,0.4,0.5,1.0,0.0,-0.1,0.3,3.0,9.578703703703704
9,Ron Anderson,26.78,13.9,2.0,1.7,3.8,-0.8,-1.6,0.2,12.0,20.416666666666668
10,Willie Anderson,34.0,15.2,2.8,3.7,6.5,0.6,1.4,2.4,2.0,29.210365853658537
11,B.J. Armstrong,15.94,11.9,1.0,0.8,1.7,-2.5,-4.8,-0.9,13.0,10.972222222222221
12,John Bagley,20.28,10.8,0.3,0.8,1.1,-2.4,-4.2,-0.6,6.0,13.833333333333334
13,Thurl Bailey,31.5,13.4,1.7,2.8,4.6,-1.4,-0.7,0.8,6.0,23.948170731707318
14,Ken Bannister,11.33,7.6,-0.5,0.5,0.1,-4.8,-6.2,-0.6,2.0,6.1826923076923075
15,Dana Barros,20.12,12.8,1.1,0.7,1.8,0.5,-2.1,0.0,2.0,16.00925925925926
16,John Battle,24.62,12.6,1.7,0.0,1.7,-0.2,-3.2,-0.5,11.0,15.9375
17,Kenny Battle,12.36,12.2,1.0,1.0,1.9,-0.3,0.9,0.5,3.0,8.444915254237289
18,William Bedford,5.86,9.5,-0.5,0.5,-0.1,-8.0,-9.2,-0.4,2.0,4.6726190476190474
19,Benoit Benjamin,32.58,16.7,1.7,3.7,5.4,-1.3,1.9,2.3,2.0,32.0
20,Rolando Blackman,36.67,17.0,4.6,2.2,6.8,1.5,0.5,1.9,12.0,29.590625
21,Mookie Blaylock,25.34,11.5,-1.6,1.3,-0.3,-2.1,-2.0,0.0,2.0,21.39
22,Muggsy Bogues,33.86,16.9,4.6,2.1,6.7,0.4,-0.9,0.7,11.0,31.308641975308642
23,Manute Bol,17.47,7.2,-1.4,1.4,0.0,-6.1,-1.1,0.3,11.0,13.766666666666667
24,Anthony Bowie,13.91,8.8,-0.6,1.3,0.7,-4.0,-3.6,-0.4,2.0,8.946969696969697
25,Sam Bowie,32.46,16.2,1.9,2.8,4.7,-2.0,-1.2,0.4,8.0,31.80514705882353
26,Adrian Branch,8.27,16.9,-0.1,0.1,0.0,-2.6,-6.3,-0.1,4.0,8.727272727272727
27,Randy Breuer,23.2,13.0,-0.2,2.2,2.0,-3.1,-2.5,-0.2,12.0,18.941358024691358
28,Frank Brickowski,18.44,13.3,1.3,2.5,3.8,-1.1,0.8,1.0,3.0,14.544871794871796
29,Scott Brooks,13.54,14.2,1.9,0.7,2.7,1.0,-1.6,0.1,4.0,11.190972222222221
30,Chucky Brown,17.85,11.9,0.9,1.3,2.2,-2.9,-3.8,-0.6,3.0,12.376666666666667
31,Mike Brown,17.04,12.8,1.7,2.0,3.7,-1.4,-0.9,0.4,5.0,12.49390243902439
32,Tony Brown,10.41,8.2,-0.5,0.5,0.0,-3.8,-4.7,-0.4,10.0,6.172131147540983
33,Steve Bucknall,4.17,0.0,-0.4,0.0,-0.3,-9.6,-12.3,-0.2,3.0,2.0972222222222223
34,Tony Campbell,38.59,17.1,2.8,2.5,5.3,1.3,-0.1,1.5,7.0,34.14939024390244
35,Antoine Carr,22.43,16.4,2.4,1.1,3.5,0.1,-1.0,0.5,6.0,20.542207792207794
36,Joe Barry,22.64,12.6,-1.7,2.4,0.7,-4.6,-3.4,-0.6,12.0,20.789473684210527
37,Terry Catledge,33.27,15.0,2.4,0.1,2.5,-0.2,-3.4,-0.9,5.0,27.79391891891892
38,Tom Chambers,37.6,20.9,7.5,3.7,11.2,2.4,1.8,2.9,5.0,40.95679012345679
39,Rex Chapman,32.63,11.9,-1.4,0.7,-0.7,-1.4,-3.5,-0.7,3.0,25.64814814814815
40,Maurice Cheeks,31.1,14.9,4.2,2.9,7.1,0.4,0.7,1.7,3.0,23.854938271604937
41,Derrick Chievous,10.75,13.3,0.4,0.8,1.2,-2.2,-3.2,-0.2,4.0,8.35
42,Ben Coleman,13.86,12.2,0.1,0.4,0.5,-3.4,-4.5,-0.2,3.0,10.852272727272727
43,Steve Colter,13.38,15.9,1.7,1.0,2.7,0.2,0.4,0.6,6.0,11.924657534246576
44,Lester Conner,28.72,12.8,1.1,2.6,3.7,-1.2,0.3,1.4,9.0,21.841463414634145
45,Michael Cooper,23.14,9.6,0.7,2.0,2.7,-1.0,-0.3,0.8,11.0,15.871875
46,Wayne Cooper,14.89,10.6,0.6,2.1,2.7,-3.1,0.0,0.6,6.0,11.79746835443038
47,Lanard Copeland,4.78,10.0,-0.3,0.0,-0.2,-5.6,-11.0,-0.3,3.0,3.402173913043478
48,Tyrone Corbin,36.72,15.9,2.8,4.0,6.8,0.5,2.6,3.5,2.0,30.73170731707317
49,Terry Cummings,34.83,19.6,4.3,4.4,8.7,1.7,1.8,2.7,10.0,37.90432098765432
50,Dell Curry,27.76,15.9,0.4,1.5,1.8,0.6,-0.1,0.9,7.0,25.828358208955223
51,Quintin Dailey,16.37,10.0,-0.1,0.2,0.1,-2.9,-6.1,-0.5,5.0,11.483333333333333
52,Brad Daugherty,35.07,16.0,1.2,1.9,3.1,-1.3,-0.5,0.6,5.0,31.115853658536587
53,Brad Davis,17.7,13.7,1.8,1.1,2.9,0.3,-1.6,0.1,7.0,13.606164383561644
54,Charles Davis,8.09,6.7,-0.5,0.3,-0.2,-5.7,-8.1,-0.7,7.0,4.9575471698113205
